date|numDC_SDP|numDC_AIR|numDC_CCN|numDC_OCC|numCDR_CONFB|numCDR_CONFNB|numCDR_CALLB|numCDR_CALLNB|numCDR_DATOSB|TPS_Voice|TPS_SMS|TPS_CCNGY_SSU|TPS_OCCGY_SSU|TPS_OCCGY_CR|TPS_CCNGY_CR|percentKPDR
2020-06-07|10640|3629|73035|9795|2719151|64168852|31721140|7729004|262431536|263118.83666666667|26372.86|4578567.633333334|818468.5633333334|821552.1|4726482.206666667|102.51
2020-06-08|12114|4872|72924|9816|4290611|71401833|39364002|7695027|267791365|307705.54|29406.446666666667|4570462.626666667|810346.9633333334|814093.3766666667|4720550.8966666665|106.11
2020-06-09|10808|4345|74305|9797|4576238|74705102|38521768|7171552|273967465|298556.9633333333|28301.166666666668|4654321.693333333|793524.71|797100.7266666667|4787438.003333333|108.65
2020-06-10|10611|4232|73755|9642|3616221|69153730|37770803|7151998|270952332|290132.75666666665|28285.516666666666|4617287.773333333|795288.8633333333|798530.3766666667|4770819.903333333|106.07
2020-06-11|10626|4246|74269|9499|3652332|69363119|38123104|7190000|269142943|292191.68333333335|28721.856666666667|4665839.286666667|784226.0966666667|787591.77|4812841.403333333|106.16
2020-06-12|10618|4517|74193|9899|3773793|69099531|39102318|7319722|270758777|299241.06666666665|28782.81|4665952.86|828923.3266666667|832299.69|4809886.04|107.02
2020-06-13|10627|4571|75242|9747|3862177|69737406|39336821|7122412|272421254|303567.80333333334|28048.103333333333|4712926.2|804059.6733333333|807708.2833333333|4839522.73|107.38
2020-06-14|10608|3910|73178|9632|3039336|64688527|31808172|6193924|263413053|257728.88333333333|24657.903333333332|4598854.15|816323.2566666667|819415.8|4733062.346666667|102.11
2020-06-15|12119|4050|68521|9355|3201869|64712738|30250858|6084567|246967171|237888.12333333332|24499.483333333334|4365310.32|802021.7966666666|805068.2866666666|4498604.52|97.08
2020-06-16|10804|5078|71454|9452|4934966|75231133|39680231|7403259|261089476|306376.7966666667|28390.206666666665|4531320.706666667|789608.08|793075.0033333333|4658929.6|105.00
2020-06-17|10647|4591|72834|9850|3776425|70741600|38694180|7183900|267322900|297379.16333333333|28123.32|4588919.55|818329.6466666666|821995.1733333333|4712273.37|106.33
