FECHA,CODIGO_EMPRESA,CEDULA_ANONIMIZADA,UBICACION_ANONIMIZADA,CODIGO_LOCALIDAD,ID_ESTADO_CIVIL,ID_GENERO,FECHA_NACIMIENTO,EDAD,FECHA_INGRESO,FECHA_INICIO_CONTRATO,ID_CARGO,TIPO_CARGO,NIVEL_CARGO,CATEGORIA_CARGO,TIPO_AREA,ID_CENTRO_COSTO,TIPO_NOMINA,SUBSIDIO_TRANSPORTE,COMPENSACION_VARIABLE,PORCENT_COMP_VARIABLE,SALARIO,TOTAL_SALARIO,INDICADOR_VARIACION_SALARIO,VARIACION_SALARIO,SENAL_SINDICALIZADO,FECHA_FIN_CONTRATO,CAUSA_NOMBRE,TIPO_RETIRO,NUM_DIAS_LABORADOS,NUM_DIAS_CONTRATADOS,RETIRO
2018-01-31,21,228,7,1504,SOLTERO,F,1990-11-24,30,2015-03-16,2015-03-16,83963,ESTRATEGICO,4,14,ADMINISTRATIVO,110201,TERMINO_INDEFINIDO,1,0,0,3333500,3333500,1,131000,0,2018-02-01,RENUNCIA,DESEADO,1053,1053,1
2018-01-31,21,304,5,1502,UNION_LIBRE,M,1990-03-16,31,2017-02-22,2017-02-22,84081,OPERATIVO,5,13,ADMINISTRATIVO,310201,TERMINO_INDEFINIDO,1,0,0,2516900,2516900,1,49400,0,2018-02-01,RENUNCIA,DESEADO,344,344,1
2018-01-31,21,647,7,1504,SOLTERO,M,1988-08-05,33,2017-10-03,2017-10-03,83799,OPERATIVO,6,9,ADMINISTRATIVO,220144,TERMINO_FIJO,1,0,0,1051300,1051300,1,48500,0,2018-02-01,RENUNCIA,NO_DESEADO,121,121,1
2018-01-31,21,757,7,1504,CASADO,F,1986-08-26,35,2015-12-22,2015-12-22,83874,OPERATIVO,6,9,ADMINISTRATIVO,110109,TERMINO_INDEFINIDO,1,0,0,1197200,1197200,1,23500,0,2018-02-01,RENUNCIA,NO_DESEADO,772,772,1
2018-01-31,21,808,8,1505,DIVORCIADO,F,1989-01-20,32,2014-08-21,2014-08-21,83827,OPERATIVO,5,12,COMERCIAL,320343,TERMINO_INDEFINIDO,1,960520,40,1440780,2401300,1,47100,0,2018-02-01,RENUNCIA,NO_DESEADO,1260,1260,1
2018-01-31,21,841,7,1504,CASADO,F,1989-08-24,32,2017-10-20,2017-10-20,84127,OPERATIVO,5,11,ADMINISTRATIVO,310200,TERMINO_INDEFINIDO,1,0,0,1801000,1801000,1,35320,0,2018-02-01,RENUNCIA,NO_DESEADO,104,104,1
2018-01-31,21,974,2,1500,SOLTERO,M,1986-05-01,35,2016-11-01,2017-12-01,83834,OPERATIVO,5,11,ADMINISTRATIVO,250168,TERMINO_INDEFINIDO,1,0,0,1749300,1749300,1,80800,0,2018-02-01,DESPIDO,DESEADO,457,62,1
2018-02-28,21,1390,5,1502,CASADO,F,1967-06-09,54,2013-06-04,2013-06-04,83899,OPERATIVO,5,13,ADMINISTRATIVO,310210,TERMINO_INDEFINIDO,1,0,0,2148100,2148100,1,42100,0,2018-03-01,RENUNCIA,DESEADO,1731,1731,1
2018-02-28,21,1477,7,1504,CASADO,F,1983-03-17,38,2017-02-20,2017-02-20,83927,ESTRATEGICO,4,15,ADMINISTRATIVO,110202,TERMINO_INDEFINIDO,1,0,0,5889000,5889000,1,115500,0,2018-03-01,RENUNCIA,NO_DESEADO,374,374,1
2018-02-28,21,1509,7,1504,CASADO,F,1985-12-25,35,2017-11-01,2017-11-01,84315,OPERATIVO,5,13,ADMINISTRATIVO,110190,TERMINO_INDEFINIDO,1,0,0,4202400,4202400,1,82400,0,2018-03-01,DESPIDO,DESEADO,120,120,1
